Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Sky Cover,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated,day_of_year_sin,day_of_year_cos,hour_sin,hour_cos
0,0.859897172,69,28,0,75,8.0,29.82,0,-0.8800122039735356,-0.4749510720670502,0.2588190451025207,0.9659258262890684
0,0.628534704,69,28,0,77,5.0,29.85,0,-0.8800122039735356,-0.4749510720670502,0.8660254037844386,0.5000000000000001
1,0.397172237,69,28,0,70,0.0,29.89,5418,-0.8800122039735356,-0.4749510720670502,0.9659258262890684,-0.2588190451025206
1,0.165809769,69,28,0,33,0.0,29.91,25477,-0.8800122039735356,-0.4749510720670502,0.4999999999999999,-0.8660254037844387
1,0.065552699,69,28,0,21,3.0,29.89,30069,-0.8800122039735356,-0.4749510720670502,-0.2588190451025208,-0.9659258262890684
1,0.296915167,69,28,0,20,23.0,29.85,16280,-0.8800122039735356,-0.4749510720670502,-0.8660254037844385,-0.5000000000000004
1,0.528277635,69,28,0,36,15.0,29.83,515,-0.8800122039735356,-0.4749510720670502,-0.9659258262890684,0.2588190451025203
0,0.759640103,69,28,0,49,6.0,29.86,0,-0.8800122039735356,-0.4749510720670502,-0.5000000000000004,0.8660254037844384
0,0.862113402,72,29,0,67,6.0,29.86,0,-0.888057322629493,-0.4597327394521046,0.2588190451025207,0.9659258262890684
0,0.630154639,72,29,0,49,0.0,29.87,0,-0.888057322629493,-0.4597327394521046,0.8660254037844386,0.5000000000000001
1,0.398195876,72,29,0,54,0.0,29.9,4939,-0.888057322629493,-0.4597327394521046,0.9659258262890684,-0.2588190451025206
1,0.166237113,72,29,0,64,0.0,29.92,24335,-0.888057322629493,-0.4597327394521046,0.4999999999999999,-0.8660254037844387
1,0.065721649,72,29,0,23,9.0,29.88,29025,-0.888057322629493,-0.4597327394521046,-0.2588190451025208,-0.9659258262890684
1,0.297680412,72,29,0,30,18.0,29.84,15408,-0.888057322629493,-0.4597327394521046,-0.8660254037844385,-0.5000000000000004
1,0.529639175,72,29,0,65,11.0,29.84,491,-0.888057322629493,-0.4597327394521046,-0.9659258262890684,0.2588190451025203
0,0.761597938,72,29,0,75,5.0,29.85,0,-0.888057322629493,-0.4597327394521046,-0.5000000000000004,0.8660254037844384
0,0.86545925,73,29,0,72,6.0,29.84,0,-0.8958392907349089,-0.4443781781046134,0.2588190451025207,0.9659258262890684
0,0.632600259,73,29,0,78,6.0,29.86,0,-0.8958392907349089,-0.4443781781046134,0.8660254037844386,0.5000000000000001
1,0.399741268,73,29,0,63,0.0,29.88,4854,-0.8958392907349089,-0.4443781781046134,0.9659258262890684,-0.2588190451025206
1,0.166882277,73,29,0,69,3.0,29.88,23855,-0.8958392907349089,-0.4443781781046134,0.4999999999999999,-0.8660254037844387
1,0.065976714,73,29,0,33,10.0,29.84,28339,-0.8958392907349089,-0.4443781781046134,-0.2588190451025208,-0.9659258262890684
1,0.298835705,73,29,0,27,20.0,29.81,15308,-0.8958392907349089,-0.4443781781046134,-0.8660254037844385,-0.5000000000000004
1,0.531694696,73,29,0,53,14.0,29.81,455,-0.8958392907349089,-0.4443781781046134,-0.9659258262890684,0.2588190451025203
0,0.764553687,73,29,0,70,6.0,29.85,0,-0.8958392907349089,-0.4443781781046134,-0.5000000000000004,0.8660254037844384
0,0.86770428,76,30,0,73,0.0,29.83,0,-0.9033558023246842,-0.4288919379124841,0.2588190451025207,0.9659258262890684
0,0.634241245,76,30,0,78,6.0,29.82,0,-0.9033558023246842,-0.4288919379124841,0.8660254037844386,0.5000000000000001
1,0.40077821,76,30,0,70,0.0,29.84,4750,-0.9033558023246842,-0.4288919379124841,0.9659258262890684,-0.2588190451025206
1,0.167315175,76,30,0,64,3.0,29.85,23555,-0.9033558023246842,-0.4288919379124841,0.4999999999999999,-0.8660254037844387
1,0.06614786,76,30,0,62,6.0,29.79,27741,-0.9033558023246842,-0.4288919379124841,-0.2588190451025208,-0.9659258262890684
1,0.299610895,76,30,0,30,15.0,29.75,14917,-0.9033558023246842,-0.4288919379124841,-0.8660254037844385,-0.5000000000000004
1,0.53307393,76,30,0,27,17.0,29.74,429,-0.9033558023246842,-0.4288919379124841,-0.9659258262890684,0.2588190451025203
0,0.766536965,76,30,0,33,5.0,29.77,0,-0.9033558023246842,-0.4288919379124841,-0.5000000000000004,0.8660254037844384
0,0.869791667,77,29,0,53,3.0,29.77,0,-0.9106046300942162,-0.4132786077829044,0.2588190451025207,0.9659258262890684
0,0.635416667,77,29,0,70,7.0,29.76,0,-0.9106046300942162,-0.4132786077829044,0.8660254037844386,0.5000000000000001
1,0.401041667,77,29,0,61,0.0,29.8,4804,-0.9106046300942162,-0.4132786077829044,0.9659258262890684,-0.2588190451025206
1,0.166666667,77,29,0,64,3.0,29.82,23551,-0.9106046300942162,-0.4132786077829044,0.4999999999999999,-0.8660254037844387
