Day of Year,Year,Month,Day,time,Is Daylight,Distance to Solar Noon,temperature,wind_direction,wind_speed,humidity,pressure,coverage
295,2006,10,22,1,0,1.0,77,0.0,0,100,29,Partly Cloudy
295,2006,10,22,2,0,0.9166666666666666,77,0.0,0,94,29,Fair
295,2006,10,22,3,0,0.8333333333333334,77,0.0,0,94,29,Fair
295,2006,10,22,4,0,0.75,75,0.0,0,100,29,Fair
295,2006,10,22,5,0,0.6666666666666666,75,0.0,0,100,29,Fair
295,2006,10,22,6,0,0.5833333333333334,75,0.0,0,100,29,Fair
295,2006,10,22,7,1,0.5,75,0.0,0,100,29,Mostly Cloudy
295,2006,10,22,8,1,0.4166666666666667,79,0.0,0,94,29,Mostly Cloudy
295,2006,10,22,9,1,0.3333333333333333,84,90.0,6,79,29,Partly Cloudy
295,2006,10,22,10,1,0.25,86,67.5,8,74,29,Mostly Cloudy
295,2006,10,22,11,1,0.16666666666666666,88,90.0,8,66,29,Mostly Cloudy
295,2006,10,22,12,1,0.08333333333333333,88,67.5,7,58,29,Mostly Cloudy
295,2006,10,22,13,1,0.0,91,90.0,8,55,29,Mostly Cloudy
295,2006,10,22,14,1,0.08333333333333333,91,67.5,9,55,29,Partly Cloudy
295,2006,10,22,15,1,0.16666666666666666,91,90.0,7,52,29,Fair
295,2006,10,22,16,1,0.25,91,90.0,8,55,29,Fair
295,2006,10,22,17,1,0.3333333333333333,90,90.0,8,62,29,Fair
295,2006,10,22,18,1,0.4166666666666667,88,90.0,7,66,29,Partly Cloudy
295,2006,10,22,19,0,0.5,84,90.0,5,74,29,Partly Cloudy
295,2006,10,22,20,0,0.5833333333333334,82,67.5,3,84,29,Fair
295,2006,10,22,21,0,0.6666666666666666,81,0.0,0,89,29,Partly Cloudy
295,2006,10,22,22,0,0.75,79,0.0,0,94,29,Partly Cloudy
295,2006,10,22,23,0,0.8333333333333334,79,0.0,0,94,29,Mostly Cloudy
295,2006,10,22,24,0,0.9166666666666666,79,0.0,0,94,29,Mostly Cloudy
296,2006,10,23,1,0,1.0,79,0.0,0,94,29,Mostly Cloudy
296,2006,10,23,2,0,0.9166666666666666,77,0.0,0,100,29,Mostly Cloudy
296,2006,10,23,3,0,0.8333333333333334,79,0.0,0,94,29,Mostly Cloudy
296,2006,10,23,4,0,0.75,77,0.0,0,100,29,Partly Cloudy
296,2006,10,23,5,0,0.6666666666666666,77,0.0,0,100,29,Partly Cloudy
296,2006,10,23,6,0,0.5833333333333334,79,0.0,0,94,29,Mostly Cloudy
296,2006,10,23,7,1,0.5,79,0.0,0,94,29,Mostly Cloudy
296,2006,10,23,8,1,0.4166666666666667,79,0.0,0,94,29,Mostly Cloudy
296,2006,10,23,9,1,0.3333333333333333,77,0.0,0,100,29,Mostly Cloudy
296,2006,10,23,10,1,0.25,82,0.0,0,89,29,Mostly Cloudy
296,2006,10,23,11,1,0.16666666666666666,84,0.0,0,84,29,Mostly Cloudy
296,2006,10,23,12,1,0.08333333333333333,81,22.5,12,94,29,Mostly Cloudy
296,2006,10,23,13,1,0.0,82,45.0,12,89,29,Mostly Cloudy
296,2006,10,23,14,1,0.08333333333333333,82,45.0,8,89,29,Mostly Cloudy
296,2006,10,23,15,1,0.16666666666666666,84,45.0,12,84,29,Mostly Cloudy
296,2006,10,23,16,1,0.25,84,67.5,12,84,29,Mostly Cloudy
296,2006,10,23,17,1,0.3333333333333333,84,45.0,8,79,29,Cloudy
296,2006,10,23,18,1,0.4166666666666667,82,90.0,6,84,29,Cloudy
296,2006,10,23,19,0,0.5,81,0.0,0,89,29,Cloudy
296,2006,10,23,20,0,0.5833333333333334,79,0.0,0,100,29,Mostly Cloudy
296,2006,10,23,21,0,0.6666666666666666,79,0.0,0,94,29,Mostly Cloudy
296,2006,10,23,22,0,0.75,79,0.0,7,94,29,Mostly Cloudy
296,2006,10,23,23,0,0.8333333333333334,77,0.0,3,100,29,Mostly Cloudy
296,2006,10,23,24,0,0.9166666666666666,77,0.0,0,100,29,Mostly Cloudy
297,2006,10,24,1,0,1.0,77,0.0,0,100,29,Mostly Cloudy
